plant_id,material_id,ever_stocked_out,country,region,channel,product_category,turnover_ratio
AE10,P107319,True,United Arab Emirates,Middle East,Travel Retail,Bath & Body,1.032064128256513
AE10,P109911,False,United Arab Emirates,Middle East,Travel Retail,Makeup,1.0
AE10,P12790,True,United Arab Emirates,Middle East,Travel Retail,Makeup,1.0092307692307692
AE10,P152203,True,United Arab Emirates,Middle East,Travel Retail,Bath & Body,0.9959266802443992
AE10,P162554,True,United Arab Emirates,Middle East,Travel Retail,Bath & Body,1.0696202531645569
AE10,P229406,True,United Arab Emirates,Middle East,Travel Retail,Makeup,1.0047281323877069
AE10,P269707,True,United Arab Emirates,Middle East,Travel Retail,Hair,0.9841897233201581
AE10,P294018,True,United Arab Emirates,Middle East,Travel Retail,Skincare,1.0160857908847185
AE10,P296439,True,United Arab Emirates,Middle East,Travel Retail,Hair,1.0309523809523808
AE10,P378111,False,United Arab Emirates,Middle East,Travel Retail,Makeup,0.9900990099009901
AE10,P379995,False,United Arab Emirates,Middle East,Travel Retail,Skincare,0.9942196531791907
AE10,P382378,True,United Arab Emirates,Middle East,Travel Retail,Makeup,1.0125
AE10,P383054,False,United Arab Emirates,Middle East,Travel Retail,Skincare,0.9702380952380952
AE10,P387261,True,United Arab Emirates,Middle East,Travel Retail,Skincare,0.9514925373134329
AE10,P387564,True,United Arab Emirates,Middle East,Travel Retail,Fragrance,1.0190114068441065
AE10,P389524,False,United Arab Emirates,Middle East,Travel Retail,Hair,0.9736842105263158
AE10,P392004,True,United Arab Emirates,Middle East,Travel Retail,Skincare,0.9477124183006536
AE10,P395532,True,United Arab Emirates,Middle East,Travel Retail,Makeup,0.9900990099009901
AE10,P397465,True,United Arab Emirates,Middle East,Travel Retail,Skincare,0.9835616438356164
AE10,P397627,True,United Arab Emirates,Middle East,Travel Retail,Skincare,1.0206489675516224
AE10,P399503,True,United Arab Emirates,Middle East,Travel Retail,Makeup,1.0141342756183747
AE10,P401771,True,United Arab Emirates,Middle East,Travel Retail,Makeup,1.0032258064516129
AE10,P405269,False,United Arab Emirates,Middle East,Travel Retail,Fragrance,0.9530201342281879
AE10,P405602,False,United Arab Emirates,Middle East,Travel Retail,Makeup,0.9695121951219512
AE10,P408218,False,United Arab Emirates,Middle East,Travel Retail,Makeup,0.9667250437828371
AE10,P409988,True,United Arab Emirates,Middle East,Travel Retail,Makeup,1.02504816955684
AE10,P413326,False,United Arab Emirates,Middle East,Travel Retail,Skincare,1.0221729490022173
